"id";"product_name";"countries";"ingredients";"brands";"stores";"image_url"
"5410228141150";"Piedboeuf Blonde";"[""Belgique""]";"{""antioxygene-e300"":""antioxygène E300"",""colorant-e150c"":""colorant E150c"",""orge"":""orge"",""houblon"":""houblon"",""eau"":""Eau"",""malt-d-orge"":""Malt d'orge"",""mais"":""maïs"",""edulcorant-e954"":""edulcorant E954""}";"[""Piedboeuf""]";"null";""
"5410228141327";"Stella Artois";"[""Scotland"",""United Kingdom""]";"{""malted-barley"":""malted barley""}";"[""Stella Artois""]";"null";""
"5410228141877";"Blanche";"[""France""]";"{""malt-d-orge-et-du-froment"":""malt d'orge et du froment"",""coriandre"":""coriandre"",""ecorces-d-orange"":""écorces d'orange""}";"[""Hoegaarden"",""InBev Belgium""]";"[""Dia""]";""
;"Bière belge brune d'abbaye";"[""Belgique""]";"{""contient-du-malt-d-orge"":""Contient du malt d'orge""}";"[""leffe""]";"null";""
"5410228147213";"Leffe Triple";"[""France""]";"{""contient-du-malt-d-orge-et-du-froment"":""Contient du malt d'orge et du froment.""}";"[""Leffe""]";"[""Franprix""]";""
"5410228142218";"Leffe blonde";"[""Guyane""]";"{""biere"":""bière"",""malt-d-orge"":""malt d'orge""}";"[""Leffe""]";"[""Super U""]";""
"5410228142119";"Brune";"[""France""]";"{""malt-d-orge"":""malt d'orge""}";"[""Leffe""]";"null";""
"5410228141785";"Cerveza &quot;Hoegaarden&quot; Wit";"[""España""]";"{""contiene-malta-de-cebada-y-trigo"":""Contiene malta de cebada y trigo.""}";"[""Hoegaarden"",""//Propiedad de://"",""Brandbrew S.A."",""//Perteneciente a://"",""InBev"",""Anheuser-Busch InBev N.V.""]";"[""Lidl""]";""
"5410228145554";"Bière blonde (pack de 12 x 25 cl) Leffe";"[""France""]";"null";"[""Leffe""]";"[""Carrefour""]";""
"5410228102762";"Blonde";"[""France"",""Germany"",""Italy"",""Norway"",""Spain"",""Sweden"",""United Kingdom""]";"null";"[""Leffe"",""InBev""]";"null";""
"5410228202608";"Ruby";"[""France""]";"null";"[""Leffe""]";"null";""
"5410228206347";"Leffe Royale";"[""Belgique"",""France""]";"{""contient-du-malt-d-orge"":""Contient du malt d'_orge_.""}";"[""Leffe""]";"[""Casino""]";""
"5410228202806";"Bière de printemps";"[""France""]";"{""contient-du-malt-d-orge"":""Contient du malt d'_orge_.""}";"[""Leffe""]";"[""Casino""]";""
"5410228206101";"Bière blanche rosée";"[""France""]";"{""minimum-10-de-fruits-dont-6-de-framboise"":""minimum 10% de fruits dont 6% de framboise"",""biere-a-la-framboise-avec-fruits"":""Bière à la framboise. Avec fruits"",""sucre-et-edulcorant-contient-du-malt-d-orge-et-du-froment"":"". Sucre et édulcorant. Contient du malt d'orge et du froment.""}";"[""Hoegaarden""]";"[""Carrefour Market""]";""
"5410228206361";"Leffe Nectar";"[""France""]";"{""0"":""0‚"",""aromes-naturels-de-miel"":""arômes naturels de miel"",""malt-d-orge"":""Malt d'orge""}";"[""Leffe""]";"null";""
"5410228091448";"Leffe Blonde";"[""France""]";"{"""":""."",""biere"":""Bière"",""contient-du-malt-d-orge"":""contient du malt d'_orge_""}";"[""Leffe""]";"null";""
