"id";"product_name";"countries";"ingredients";"brands";"stores";"image_url"
"3182280062538";"Pêche abricot";"[""France""]";"null";"[""Danao""]";"null";""
"3182280060497";"Mon Fruit Préféré, Fraise Gourmande";"[""France""]";"{""denree-alimentaire-colorant"":""denrée alimentaire colorant"",""13"":""13‚"",""stabilisant"":""stabilisant"",""jus-de-pomme-a-base-de-concentre"":""jus de pomme à base de concentré"",""acidifiant"":""acidifiant"",""puree-de-fraise"":""purée de fraise"",""concentre-de-carotte-et-cassis"":""concentré de carotte et cassis."",""pectine-de-fruit"":""pectine de fruit"",""acide-citrique"":""acide citrique"",""lait-ecreme"":""_lait_ écrémé"",""eau-de-source"":""Eau de source"",""9"":""9‚"",""sucre"":""sucre"",""arome-naturel"":""arôme naturel""}";"[""Danao"",""JFD (Jus Frais Développement)""]";"[""Franprix""]";""
"3182280057565";"Pêche-Abricot (Maxi Format)";"[""France""]";"{""colorant"":""colorant"",""ss"":""ß"",""abricot-12"":""abricot 12‚"",""lait-ecreme-16"":""lait écrémé 16‚"",""stabilisant"":""stabilisant"",""jus-de-fruits-a-base-de-concentres-25"":""jus de fruits à base de concentrés 25‚"",""acidifiant"":""acidifiant"",""carotene"":""carotène"",""pectine-de-fruit"":""pectine de fruit"",""peche-12"":""pêche 12‚"",""acide-citrique"":""acide citrique"",""eau-de-source"":""Eau de source"",""aromes"":""arômes."",""sucre"":""sucre""}";"[""Danao"",""JFD (Jus Frais Développement)""]";"[""Simply Market""]";""
"3182280052515";"Cidre doux Ecusson 75 cl";"[""France""]";"{""fabrique-avec-des-fruits-a-cidre-de-normandie"":""fabriqué avec des fruits à cidre de Normandie""}";"[""Ecusson""]";"[""Carrefour""]";""
"3182280052508";"Cidre rosé Ecusson (pack de 3)";"[""France""]";"{""cidre-rose-pommes-quot"":""Cidre rosé Pommes &quot"",""rouge-delice-quot"":""Rouge Délice&quot""}";"[""Ecusson""]";"[""Intermarché""]";""
"3182280056452";"Orange Mangue";"[""France""]";"{""colorant"":""colorant"",""ss"":""ß"",""vitamine-c"":""vitamine C"",""lait-ecreme-16"":""lait écrémé 16‚"",""stabilisant"":""stabilisant"",""acidifiant"":""acidifiant"",""carotene"":""carotène"",""pectine-de-fruit"":""pectine de fruit"",""orange"":""orange"",""jus-de-fruits-a-base-de-concentres"":""jus de fruits à base de concentrés"",""acide-citrique"":""acide citrique"",""mangue"":""mangue"",""eau-de-source"":""Eau de source"",""aromes"":""arômes."",""sucre"":""sucre""}";"[""Danao""]";"null";""
"3182280052485";"Cidre brut Ecusson (pack de 3)";"[""France""]";"{""fabrique-avec-des-fruits-a-cidre-de-normandie"":""fabriqué avec des fruits à cidre de Normandie""}";"[""Ecusson""]";"[""Intermarché""]";""
"3182280052522";"Cidre brut";"[""France""]";"{""fabrique-avec-des-fruits-a-cidre-de-normandie"":""fabriqué avec des fruits à cidre de Normandie""}";"[""Ecusson""]";"[""Carrefour"",""Dia""]";""
"3182280056445";"Orange Banane Fraise";"[""France""]";"{""colorant"":""colorant"",""b"":""b"",""vitamine-c"":""vitamine C."",""lait-ecreme-16"":""lait écrémé 16‚"",""stabilisant"":""stabilisant"",""carotene"":""carotène"",""acidifiant"":""acidifiant"",""pectine-de-fruit"":""pectine de fruit"",""fraise-6"":""fraise 6‚"",""orange"":""orange"",""anthocyanes"":""anthocyanes"",""jus-de-fruits-a-base-de-concentres"":""jus de fruits à base de concentrés"",""acide-citrique"":""acide citrique"",""eau-de-source"":""Eau de source"",""aromes"":""arômes"",""banane-6"":""banane 6‚"",""sucre"":""sucre""}";"[""Danao"",""JFD (Jus Frais Développement)""]";"[""Auchan""]";""
"3182280052454";"Cidre Brut Ecusson 33 cl";"[""France""]";"{""fabrique-avec-des-fruits-a-cidre-de-normandie"":""fabriqué avec des fruits à cidre de Normandie""}";"[""Ecusson""]";"[""Intermarché""]";""
"3182280052492";"Cidre doux Ecusson (pack de 3)";"[""France""]";"{""cidre-doux"":""Cidre doux""}";"[""Ecusson""]";"[""Intermarché""]";""
"3182280052577";"Cidre rosé Ecusson 75 cl";"[""France""]";"{""rouge-delice-quot"":""Rouge Délice&quot"",""pommes-quot"":""Pommes &quot""}";"[""Ecusson""]";"[""Carrefour"",""Dia""]";""
"3182280056476";"Pomme Fruits exotiques";"[""France""]";"{""colorant"":""colorant"",""fruits-exotiques-9"":""fruits exotiques 9‚"",""vitamine-c"":""vitamine C"",""stabilisant"":""stabilisant"",""acidifiant"":""acidifiant"",""carotene"":""carotène"",""lait-ecreme-20"":""_lait_ écrémé 20‚"",""jus-de-fruits-a-base-de-concentres-27"":""jus de fruits à base de concentrés 27‚"",""pectine-de-fruit"":""pectine de fruit"",""banane"":""banane"",""ananas"":""ananas"",""citron"":""citron"",""orange"":""orange"",""mangue-0"":""mangue 0‚"",""acide-citrique"":""acide citrique"",""fruits-de-la-passion-1"":""fruits de la passion 1‚"",""pomme"":""pomme"",""eau-de-source"":""Eau de source"",""aromes"":""arômes."",""beta"":""bêta"",""sucre"":""sucre"",""abricot"":""abricot""}";"[""Danao""]";"[""Cora""]";""
"3182280052461";"Cidre doux Ecusson 33 cl";"[""France""]";"{""fabrique-avec-des-fruits-a-cidre-de-normandie"":""fabriqué avec des fruits à cidre de Normandie""}";"[""Ecusson""]";"[""Intermarché""]";""
"3182280052478";"Cidre rosé Ecusson 33 cl";"[""France""]";"{"""":""."",""rouge-delice-quot"":""Rouge Délice&quot"",""aucune-indication-sauf"":""Aucune indication sauf"",""elaboration-a-partir-de-la-pomme-quot"":""élaboration à partir de la pomme &quot""}";"[""Ecusson""]";"[""Intermarché""]";""
"3182280059736";"Délice de Poire Ecusson";"[""France""]";"{""concentre-de-poire"":""concentré de poire"",""cidre-de-pommes-et-de-poires"":""cidre de pommes et de poires"",""arome-naturel"":""arôme naturel.""}";"[""Ecusson""]";"[""Carrefour""]";""
"3182280044930";"Pêche Abricot";"[""France""]";"{""colorant"":""colorant"",""abricot-12"":""abricot 12‚"",""lait-ecreme-16"":""lait écrémé 16‚"",""stabilisant"":""stabilisant"",""jus-de-fruits-a-base-de-concentres-25"":""jus de fruits à base de concentrés 25‚"",""acidifiant"":""acidifiant"",""carotene"":""carotène"",""pectine-de-fruit"":""pectine de fruit"",""peche-12"":""pêche 12‚"",""acide-citrique"":""acide citrique"",""eau-de-source"":""Eau de source"",""aromes"":""arômes."",""beta"":""bêta"",""sucre"":""sucre""}";"[""Danao""]";"null";""
"80328629";"Menabrea";"[""France""]";"{""houblon"":""houblon."",""eau"":""Eau"",""malt-d-orge"":""malt d'_orge_"",""mais"":""maïs""}";"[""Menabrea""]";"[""Vidici""]";""
"04006398";"Kirin Ichiban";"[""United States""]";"null";"[""Kirin""]";"null";""
"44609957";"Frappuccino";"[""France""]";"{""0"":""0‚"",""carbonates-de-potassium"":""carbonates de potassium."",""correcteur-d-acidite"":""correcteur d'acidité"",""contient-1-5-de-matieres-grasses"":""contient 1‚5 % de matières grasses"",""eau"":""eau"",""lait-demi-ecreme"":""_Lait_ demi-écrémé"",""extrait-de-vanille"":""extrait de vanille"",""extrait-de-cafe-0"":""extrait de café 0‚"",""cafe-arabica-starbucks-certifie-fairtrade"":""café arabica Starbucks® certifié Fairtrade"",""sucre"":""sucre"",""arome-naturel"":""arôme naturel""}";"[""Starbucks""]";"null";""
"02627984";"Eau de source";"[""France""]";"null";"[""Carrefour discount""]";"null";""
