tt0000204 ; Jésus devant Pilate ; -1.0 ; Short ; Alice Guy ; N/A ; 1898 ; 
tt0000205 ; Leçons de boxe ; 5.1 ; Short , Comedy , Sport ; Alice Guy ; N/A ; 1898 ; 
tt0000206 ; Llegada de un tren a la estación de ferrocarril del Norte, de Barcelona ; 4.6 ; Documentary , Short ; Fructuós Gelabert ; N/A ; 1898 ; 
tt0000207 ; London Express ; -1.0 ; Documentary , Short ; N/A ; N/A ; 1898 ; 
tt0000208 ; The Miller and Chimney Sweep ; 5.9 ; Comedy , Short ; George Albert Smith ; N/A ; 1897 ; 
tt0000209 ; Photographing a Ghost ; 4.2 ; Short , Horror ; George Albert Smith ; N/A ; 1898 ; 
tt0000210 ; A Novice at X-rays ; 4.5 ; Short ; Georges Méliès ; Georges Méliès ; 1898 ; 
tt0000211 ; A Trip to the Moon ; 7.5 ; Short , Comedy , Fantasy ; Georges Méliès ; Georges Méliès ; 1898 ; 
tt0000212 ; Saida do Paquete Duque de Braganca ; -1.0 ; Short ; Henry Short ; N/A ; 1898 ; 
tt0000213 ; Scène d'escamotage ; 4.6 ; Short ; Alice Guy ; N/A ; 1898 ; 
tt0000214 ; Tearing Down the Spanish Flag ; 5.4 ; Short , War ; J. Stuart Blackton ; J. Stuart Blackton ; 1898 ; 
tt0000215 ; Smích a plác ; 4.3 ; Short , Documentary ; Jan Krízenecký ; Josef Sváb-Malostranský ; 1898 ; 
tt0000216 ; Visita de Doña María Cristina y Alfonso XIII a Barcelona ; -1.0 ; Short , News ; Fructuós Gelabert ; Maria Christina of Austria , King Alfonso XIII ; 1898 ; 
tt0000217 ; Waves and Spray ; -1.0 ; Short ; George Albert Smith ; N/A ; 1898 ; 
tt0000218 ; L'affaire Dreyfus ; 5.8 ; Short , Biography , Drama ; Georges Méliès ; Georges Méliès ; 1899 ; 
tt0000219 ; Aladdin and the Wonderful Lamp ; 7.0 ; Short , Fantasy ; George Albert Smith ; N/A ; 1899 ; 
tt0000220 ; The Artist and the Flower Girl ; 4.4 ; Short , Romance ; N/A ; N/A ; 1901 ; 
tt0000221 ; Aspectos da Praia de Cascais ; -1.0 ; Documentary , Short ; Manuel Maria da Costa Veiga ; N/A ; 1899 ; 
tt0000222 ; Au cabaret ; 4.7 ; Short , Comedy ; Alice Guy ; N/A ; 1899 ; 
tt0000223 ; L'aveugle ; 5.3 ; Short ; Alice Guy ; N/A ; 1899 ; 
tt0000224 ; Battlefield ; -1.0 ; Short ; N/A ; N/A ; 1899 ; 
tt0000225 ; Beauty and the Beast ; 5.9 ; Short , Family , Fantasy ; N/A ; N/A ; 1899 ; 
tt0000226 ; Boat Race ; -1.0 ; Short ; N/A ; N/A ; 1899 ; 
tt0000227 ; Bombardment of Mafeking ; -1.0 ; Short , Drama , War ; Sir Robert Ashe ; N/A ; 1899 ; 
tt0000228 ; La bonne absinthe ; 5.1 ; Short ; Alice Guy ; N/A ; 1899 ; 
tt0000229 ; Casey at the Bat ; 4.7 ; Short , Sport ; N/A ; N/A ; 1899 ; 
tt0000230 ; Cinderella ; 6.6 ; Short , Drama , Fantasy ; Georges Méliès ; Barral , Bleuette Bernon , Carmely , Jeanne d'Alcy ; 1899 ; 
tt0000231 ; Portuguese Railway Train ; 4.6 ; Documentary , Short ; Henry Short ; N/A ; 1896 ; 
tt0000232 ; Le chiffonnier ; -1.0 ; Short , Comedy ; Alice Guy ; N/A ; 1899 ; 
tt0000233 ; Choque de dos transatlánticos ; -1.0 ; Short , Animation ; Fructuós Gelabert ; N/A ; 1899 ; 
tt0000234 ; Cleopatra's Tomb ; 6.7 ; Short , Horror ; Georges Méliès ; Jeanne d'Alcy ; 1899 ; 
tt0000235 ; Haggard's She: The Pillar of Fire ; 6.3 ; Short , Adventure , Fantasy ; Georges Méliès ; Jeanne d'Alcy ; 1899 ; 
